cat1,id1,cat2,id2,cat3,id3
Beverage Manufacturing,sg:d468aec1a90a437185360b5c1b1d00df,Other Miscellaneous Store Retailers,sg:80ed5aeaee334840be638459707fbdc3,Restaurants and Other Eating Places,sg:8e2618fb0f0a42a6994941c74b047cbe
Beverage Manufacturing,sg:d468aec1a90a437185360b5c1b1d00df,Other Miscellaneous Store Retailers,sg:80ed5aeaee334840be638459707fbdc3,Waste Treatment and Disposal,sg:4e218fe6f98147d0bdc8a5a29aeb2de3
Beverage Manufacturing,sg:d468aec1a90a437185360b5c1b1d00df,Restaurants and Other Eating Places,sg:8e2618fb0f0a42a6994941c74b047cbe,Waste Treatment and Disposal,sg:4e218fe6f98147d0bdc8a5a29aeb2de3
Clothing Stores,sg:c15277b450de412fa40fedfc0e240732,Gasoline Stations,sg:deb9e9a6e10b48a1a7676ef8b5e98cf0,Offices of Other Health Practitioners,sg:555149b9b9ce4884a013083c10945892
Other Miscellaneous Store Retailers,sg:80ed5aeaee334840be638459707fbdc3,Restaurants and Other Eating Places,sg:8e2618fb0f0a42a6994941c74b047cbe,Waste Treatment and Disposal,sg:4e218fe6f98147d0bdc8a5a29aeb2de3
