safegraph_place_id,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,city,region
sg:665dddff4f0f43d6bd06defd436d3564,The Urban Refuge,,Religious Organizations,Religious Organizations,"813110",44.903124,-93.262257,Minneapolis,MN
sg:7f6773b3db7a4ea086d237cb68eae6e0,Rusty's Tire,,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,"441310",45.005281,-93.310969,Minneapolis,MN
sg:251b3c05c7514244902452904bda5641,Nature's Wisdom Health Shoppe,,Health and Personal Care Stores,Food (Health) Supplement Stores,"446191",44.944584,-93.290914,Minneapolis,MN
sg:2d3330a63c674e77a115eaf174715629,Apple Spice,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.997625,-93.222278,Minneapolis,MN
sg:4311a74a81f24825bbebd816564b9478,Tony Schwartz Bodywork,,Personal Care Services,Other Personal Care Services,"812199",44.927118,-93.218507,Minneapolis,MN
sg:78d5f52e425d45cca9617bd6fa079869,Palooza,,Furniture Stores,Furniture Stores,"442110",45.018506,-93.237494,Minneapolis,MN
sg:f0dcb747972840d8b4c255f176d99e2c,InsuraQuote,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.966972,-93.289086,Minneapolis,MN
sg:1b339bd42d0f43338da4007cf795bb82,Ronald H Spiegel MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.951096,-93.263052,Minneapolis,MN
sg:5b478595ba084f9eb1527e28566c3c53,Allinsurance,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.948085,-93.255452,Minneapolis,MN
sg:e1095027fc7a43c792c1a6bed04612fa,Insight Brewing Company,,Beverage Manufacturing,Breweries,"312120",44.991914,-93.212946,Minneapolis,MN
sg:ea4486af4a71448eba86ea2a6e3f90c4,Robert Foote Jeweler,,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,"448310",44.910993,-93.328804,Minneapolis,MN
sg:95eca065613148aa9df63e95e22f4172,Fancy Nails,,Personal Care Services,Nail Salons,"812113",44.998892,-93.294359,Minneapolis,MN
sg:4b63762d5a6442af9691fc3aff58bd12,Paradise Body Works,,Personal Care Services,Other Personal Care Services,"812199",44.937941,-93.284575,Minneapolis,MN
sg:596216b0d0484dab92f2428544b865ff,DaVita,DaVita,Outpatient Care Centers,Kidney Dialysis Centers,"621492",44.970564,-93.261304,Minneapolis,MN
sg:f64661a469934c0ba40177b27c24001c,Bde Maka Ska,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,"712190",44.94802,-93.306416,Minneapolis,MN
sg:38bb1f6ca7034f05b4b4e64cbcbbcc64,All Saints Church,,Religious Organizations,Religious Organizations,"813110",44.946693,-93.246512,Minneapolis,MN
sg:3d70fcdaee144a71b7d0f9326778ab4d,D Brian's Kitchen & Catering,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.975831,-93.273675,Minneapolis,MN
sg:4d499e2e9ceb407997f16c9f4bf408ae,Standard Parking Sp Plus,,Other Personal Services,Parking Lots and Garages,"812930",44.97781,-93.267269,Minneapolis,MN
sg:5abef34e3f6247ecac2dcd9c7ecbe787,City Chic Antiques,,Used Merchandise Stores,Used Merchandise Stores,"453310",44.912586,-93.318427,Minneapolis,MN
sg:cba21a2f0e7f4afc835e103ffcce128e,Domino's Pizza,Domino's Pizza,Restaurants and Other Eating Places,Limited-Service Restaurants,"722513",45.007981,-93.236687,Minneapolis,MN
sg:d000639cc12d4ec48b11f7b973b290e6,Zen Box Izakaya,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.978568,-93.259373,Minneapolis,MN
sg:0424c7a1f91e4c69bfc8a1b1d6122c53,Autopia,,Automotive Repair and Maintenance,Car Washes,"811192",44.959633,-93.293342,Minneapolis,MN
sg:7568b36a448b4faabd863c8b866ceeb9,Midway Roadside Assistance,,Automobile Dealers,Used Car Dealers,"441120",44.94969,-93.252178,Minneapolis,MN
sg:d213ab6e758f4a15a3925578af3e63bc,Crown of Minnesota,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",45.000037,-93.24777,Minneapolis,MN
sg:4e1e204280e543e3bebedc6a203ded03,Yinghua Academy Kindergarten,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",45.003982,-93.259305,Minneapolis,MN
sg:6c33788e3cc341559a51dffd8246b585,Rituals,,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores","446120",44.949665,-93.260722,Minneapolis,MN
sg:ae0d773c279344859d8d9b4331a81f60,Bergan Robert W Chiropractor,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.96133,-93.283299,Minneapolis,MN
sg:ae4c6fa3a9034b5484ce0a22350ddf3f,CrossFit,CrossFit,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.976473,-93.283562,Minneapolis,MN
sg:0317be12e32a41ff9d338f302ada5da8,Alpha Auto Body & Mechanic,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance","811121",44.950566,-93.282075,Minneapolis,MN
sg:10cbaeeaffb74ed6ac81b70e73d7ae04,Mike's Frame Service,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.932285,-93.225854,Minneapolis,MN
sg:7fc2c153e04049e386e9ec529c453d54,Bank of America,Bank of America,Depository Credit Intermediation,Commercial Banking,"522110",44.976335,-93.271817,Minneapolis,MN
sg:a0613fab846147b495bfbd4e11aa894e,Skadron Michael P,,Offices of Dentists,Offices of Dentists,"621210",44.94817,-93.213714,Minneapolis,MN
sg:d90f3219088e410fb644187ea059dfa1,Joe's Laundry Mat,,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),"812320",44.987685,-93.226042,Minneapolis,MN
