placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
225-222@5s8-cd6-73q,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,44.978169,-93.263394,307 4th Ave S,Minneapolis,MN,55415,US,+16123333153,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07-01,POLYGON
zzw-224@5s8-cd4-hbk,,CrossFit,SG_BRAND_ae6abf1aa02c01cfe560b9315db66b07,CrossFit,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,44.979136,-93.292699,1010 2nd Ave N,Minneapolis,MN,55405,US,,,,,,,POLYGON
228-223@5s8-cj9-bkz,,Cricket Wireless,SG_BRAND_247184f5fcf8c0afea1291676dc6df8f,Cricket Wireless,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,44.948966,-93.262887,2932 Chicago Ave Ste 102,Minneapolis,MN,55407,US,+16122238047,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""16:00""]] }",,,,2019-07-01,POLYGON
zzw-224@5s8-cdb-d7q,,AutoZone,SG_BRAND_87681bc51c663efbbf7272e0f1262e9b,AutoZone,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,44.998359,-93.286112,501 W Broadway Ave,Minneapolis,MN,55411,US,+16125292802,"{ ""Mon"": [[""7:30"", ""22:00""]], ""Tue"": [[""7:30"", ""22:00""]], ""Wed"": [[""7:30"", ""22:00""]], ""Thu"": [[""7:30"", ""22:00""]], ""Fri"": [[""7:30"", ""22:00""]], ""Sat"": [[""7:30"", ""22:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",,,,2019-07-01,POLYGON
224-222@5s8-cj8-8gk,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.948583,-93.273703,210 E Lake St,Minneapolis,MN,55408,US,+16128259700,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07-01,POLYGON
zzw-224@5s8-cd6-ht9,,Quest Diagnostics,SG_BRAND_3406bd03e8189a9665ab9e3dead8226c,Quest Diagnostics,Medical and Diagnostic Laboratories,Medical Laboratories,621511,44.974907,-93.27322,825 Nicollet Mall Ste 406,Minneapolis,MN,55402,US,+16122013401,"{ ""Mon"": [[""8:00"", ""12:00""]], ""Tue"": [[""8:00"", ""12:00""]], ""Wed"": [[""8:00"", ""12:00""]], ""Thu"": [[""8:00"", ""12:00""]], ""Fri"": [[""8:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }",,,,2020-06-02,POLYGON
223-222@5s8-cd6-k2k,223-224@5s8-cd6-k2k,Potbelly Sandwich Works,SG_BRAND_14223a0f5c0343028b9744ebb74e584d,Potbelly Sandwich Works,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.977369,-93.269641,527 Marquette Ave,Minneapolis,MN,55402,US,+16123391143,"{ ""Mon"": [[""7:59"", ""16:00""]], ""Tue"": [[""7:00"", ""16:00""]], ""Wed"": [[""7:00"", ""16:00""]], ""Thu"": [[""7:00"", ""16:00""]], ""Fri"": [[""7:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }","Counter Service,Sandwich Shop,Lunch,Breakfast,Catering,Dinner",,,2019-07-01,POLYGON
zzw-229@5s8-cdc-epv,,Cost Cutters,SG_BRAND_0745a8b3a29b440c,Cost Cutters,Personal Care Services,Beauty Salons,812112,44.987665,-93.254452,329 Central Ave SE,Minneapolis,MN,55414,US,+16123312753,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""13:00"", ""17:00""]] }",,,,2019-07-01,POLYGON
zzw-222@5s8-cd4-4y9,,Greyhound,SG_BRAND_48214cd2e471ddf84b599837b35fb6b9,Greyhound,Interurban and Rural Bus Transportation,Interurban and Rural Bus Transportation,485210,44.977101,-93.278618,950 Hawthorne Ave,Minneapolis,MN,55403,US,+16123713325,"{ ""Mon"": [[""0:00"", ""1:30""]], ""Tue"": [[""0:00"", ""1:30""]], ""Wed"": [[""0:00"", ""1:30""]], ""Thu"": [[""0:00"", ""1:30""]], ""Fri"": [[""0:00"", ""1:30""]], ""Sat"": [[""0:00"", ""1:30""]], ""Sun"": [[""0:00"", ""1:30""]] }",,,,2019-07-01,POLYGON
23s-225@5pb-ksm-s3q,23t-222@5pb-ksm-s3q,The Exercise Coach,SG_BRAND_e9b371bd169a31fc,The Exercise Coach,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,44.912635,-93.318998,4956 Xerxes Ave S Ste 104,Minneapolis,MN,55410,US,+16124167600,,,2021-07-29,,2019-07-01,POLYGON
zzy-223@5s8-cd5-f4v,,Impark,SG_BRAND_11feca234029d8c9,Impark,Other Personal Services,Parking Lots and Garages,812930,44.973541,-93.265285,501 S 7th St,Minneapolis,MN,55415,US,,,,,,,POLYGON
zzw-222@5s8-cdc-bff,,U.S. Bank,SG_BRAND_115e6cd3ceacb40f8be99ae3d3f62649,U.S. Bank,Depository Credit Intermediation,Commercial Banking,522110,44.988838,-93.255567,30 4th St NE,Minneapolis,MN,55413,US,+16123787101,,,,,2021-01-11,POLYGON
225-222@5pb-ksr-td9,,Walgreens,SG_BRAND_63ea689e38887d2a25b1f57a6f86748f,Walgreens,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,44.949221,-93.321307,3240 W Lake St,Minneapolis,MN,55416,US,,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }",,,,2019-07-01,POLYGON
zzy-222@5s8-cjd-7kf,zzw-222@5s8-cjc-mkz,National Car Rental,SG_BRAND_eb3c8d85c6411e34ceb6681425832b72,National Car Rental,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,44.879077,-93.19905,4901 Glumack Dr Terminal 1,Minneapolis,MN,55111,US,,,,,,,POLYGON
zzw-222@5s8-ckz-35z,,Costco,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,45.000617,-93.217175,3311 Broadway St NE,Minneapolis,MN,55413,US,+16515027600,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""18:00""]], ""Wed"": [[""7:00"", ""18:00""]], ""Thu"": [[""7:00"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""7:00"", ""16:00""]], ""Sun"": [] }",,,,2020-01-30,POLYGON
zzw-222@5s8-cj7-7h5,,iStorage,SG_BRAND_a6aa48d93d9fbe31,iStorage,Warehousing and Storage,General Warehousing and Storage,493110,44.936574,-93.22966,3601 Hiawatha Ave Minneapolis,Minneapolis,MN,55406,US,,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
zzw-229@5s8-cd5-fvf,zzw-228@5s8-cd5-fvf,DaVita,SG_BRAND_b92d75d5850ea7f89a9d03198bfeb0a3,DaVita,Outpatient Care Centers,Kidney Dialysis Centers,621492,44.970539,-93.261273,825 S 8th St Slip 42,Minneapolis,MN,55404,US,,,,,,2019-07-01,POLYGON
zzw-222@5pb-kst-z75,,Cub Foods,SG_BRAND_d2e8721c5669019d65b0c71cc873b11a,Cub Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,44.949861,-93.294026,1104 Lagoon Ave,Minneapolis,MN,55408,US,+16128231563,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
22p-222@5s8-cj3-syv,,Allstate Insurance,SG_BRAND_5a9e6695c8055aeb6c210e6bfb45d6b5,Allstate Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,44.908531,-93.252818,5208 Bloomington Ave,Minneapolis,MN,55417,US,+16123535410,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""13:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
224-228@5s8-cd6-jvz,,U.S. Bank,SG_BRAND_115e6cd3ceacb40f8be99ae3d3f62649,U.S. Bank,Depository Credit Intermediation,Commercial Banking,522110,44.976998,-93.267267,200 S 6th St,Minneapolis,MN,55402,US,,,,,,2019-07-01,POLYGON
222-222@5s8-chz-mff,222-223@5s8-chz-mff,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,44.920303,-93.218393,4547 Hiawatha Ave,Minneapolis,MN,55406,US,,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,,,2021-02-02,POLYGON
222-222@5s8-ckz-8n5,zzw-224@5s8-ckz-8y9,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,45.004853,-93.229957,1650 New Brighton Blvd,Minneapolis,MN,55413,US,,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery",,,2021-03-08,POLYGON
22j-223@5s8-cd6-hwk,,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.973729,-93.271741,900 2nd Ave S,Minneapolis,MN,55402,US,+16123382756,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2019-07-01,POLYGON
226-222@5s8-cd5-sbk,,YWCA,SG_BRAND_6bf727b5f0f37ee043ba3bc71f31f971,YWCA,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,44.972646,-93.276749,1130 Nicollet Mall,Minneapolis,MN,55403,US,,,,,,2019-07-01,POLYGON
229-225@5pb-kst-wx5,,Walgreens Pharmacy,SG_BRAND_33ef43259b465c12,Walgreens Pharmacy,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,44.948149,-93.294701,1221 W Lake St,Minneapolis,MN,55408,US,,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2019-07-01,POLYGON
22d-222@5s8-cj9-6rk,,American Job Centers,SG_BRAND_700e77161890059903a952ff1d792d08,American Job Centers,Employment Services,Employment Placement Agencies,561311,44.948092,-93.263082,777 E Lake St,Minneapolis,MN,55407,US,+16515394410,,,,,2020-07-25,POLYGON
zzw-222@5s8-ckt-fj9,,Spire Credit Union,SG_BRAND_61239fbb30965837,Spire Credit Union,Depository Credit Intermediation,Commercial Banking,522110,44.969934,-93.211819,3117 University Ave SE,Minneapolis,MN,55414,US,,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,2019-07-01,POLYGON
222-222@5s8-ckz-5s5,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110,45.005425,-93.235917,1600 18th Ave NE,Minneapolis,MN,55418,US,+16127819086,"{ ""Mon"": [[""6:30"", ""18:00""]], ""Tue"": [[""6:30"", ""18:00""]], ""Wed"": [[""6:30"", ""18:00""]], ""Thu"": [[""6:30"", ""18:00""]], ""Fri"": [[""6:30"", ""18:00""]], ""Sat"": [[""6:30"", ""13:00""]], ""Sun"": [[""9:00"", ""12:00""]] }",,,,2019-07-01,POLYGON
228-222@5s8-cd6-hnq,,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.974469,-93.274829,50 S 10th St,Minneapolis,MN,55403,US,+16122550753,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2019-07-01,POLYGON
228-222@5pb-ksr-td9,,H&R Block,SG_BRAND_c19468cebc69ba51b37529f1fdd814f7,H&R Block,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,44.94925,-93.319885,3212 W Lake St,Minneapolis,MN,55416,US,+16129292770,,,,,2019-07-01,POLYGON
zzw-224@5s8-cd9-tn5,,CrossFit,SG_BRAND_ae6abf1aa02c01cfe560b9315db66b07,CrossFit,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,45.003895,-93.279676,2400 N 2nd St Ste 110,Minneapolis,MN,55411,US,+16125478794,"{ ""Mon"": [[""6:00"", ""19:30""]], ""Tue"": [[""6:00"", ""20:30""]], ""Wed"": [[""6:00"", ""19:30""]], ""Thu"": [[""6:00"", ""19:30""]], ""Fri"": [[""6:00"", ""18:30""]], ""Sat"": [[""9:00"", ""11:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
22c-222@5s8-cfz-35z,,Jackson Hewitt Tax Service,SG_BRAND_83bae7a11a4b9f1fb651baa1b26a2ec4,Jackson Hewitt Tax Service,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,45.012314,-93.246992,2401 Central Ave NE,Minneapolis,MN,55418,US,+16126077971,,,,,2019-07-01,POLYGON
223-222@5s8-cj3-8gk,223-223@5s8-cj3-8gk,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,44.924265,-93.262141,4323 Chicago Ave,Minneapolis,MN,55407,US,,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,,,2021-02-02,POLYGON
zzw-22k@5s8-cj9-6x5,,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,44.948667,-93.260768,920 E Lake St Ste 148,Minneapolis,MN,55407,US,,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",,,,2021-02-02,POLYGON
22f-222@5pb-kst-x3q,,Jersey Mike's,SG_BRAND_2e5e0487913bda7532010357c3b014d8,Jersey Mike's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.94859,-93.301209,1504 W Lake St,Minneapolis,MN,55408,US,+16122249757,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""10:00"", ""21:00""]] }","Counter Service,Sandwich Shop,Lunch,Catering,Dinner",,,2019-07-01,POLYGON
22f-222@5s8-chz-4n5,,Fantastic Sams,SG_BRAND_ba4953bbc3ecea3ac23754b1b0f08ab2,Fantastic Sams,Personal Care Services,Beauty Salons,812112,44.912337,-93.222652,5003 34th Ave S,Minneapolis,MN,55417,US,,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""9:00"", ""19:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
227-222@5s8-cks-75z,,ERIK'S Bike Board Ski,SG_BRAND_3f430d5418f6a2f1,ERIK'S Bike Board Ski,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110,44.980612,-93.236724,1312 4th St SE,Minneapolis,MN,55414,US,+16126178002,"{ ""Mon"": [[""11:00"", ""19:00""]], ""Tue"": [[""11:00"", ""19:00""]], ""Wed"": [[""11:00"", ""19:00""]], ""Thu"": [[""11:00"", ""19:00""]], ""Fri"": [[""11:00"", ""19:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",,,,2019-07-01,POLYGON
222-224@5pb-ksr-ty9,228-222@5pb-ksr-ty9,Coldwell Banker,SG_BRAND_53a70ede37719e4c,Coldwell Banker,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210,44.947744,-93.318061,3033 Excelsior Blvd,Minneapolis,MN,55416,US,,"{ ""Mon"": [[""7:00"", ""24:00""]], ""Tue"": [[""7:00"", ""24:00""]], ""Wed"": [[""7:00"", ""24:00""]], ""Thu"": [[""7:00"", ""24:00""]], ""Fri"": [[""7:00"", ""24:00""]], ""Sat"": [[""7:30"", ""24:00""]], ""Sun"": [[""7:30"", ""24:00""]] }",,,,2019-07-01,POLYGON
22f-222@5s8-cj5-rc5,,Ace Hardware,SG_BRAND_0042ddcf1dfda78309cac2609a8e56e0,Ace Hardware,Building Material and Supplies Dealers,Hardware Stores,444130,44.957863,-93.252705,2438 Bloomington Ave,Minneapolis,MN,55404,US,+16127293526,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
223-222@5s8-cj6-hh5,,Taco Bell,SG_BRAND_748ba381dd81bb8de615319837ffa350,Taco Bell,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.963068,-93.244366,1931 Minnehaha Ave,Minneapolis,MN,55404,US,+16123700024,"{ ""Mon"": [[""7:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""7:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""7:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""7:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""7:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""7:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""7:00"", ""23:00""]] }","Counter Service,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Mexican Food,Dinner",,,2019-07-01,POLYGON
22m-222@5s8-cd6-fmk,226-222@5s8-cd6-fmk,Bremer Bank,SG_BRAND_35729fcdf06e94b4,Bremer Bank,Depository Credit Intermediation,Commercial Banking,522110,44.976218,-93.271245,80 S 8th St Ste 240,Minneapolis,MN,55402,US,+16123710788,,,,,2019-08-13,POLYGON
22d-223@5s8-cd7-t5f,,Mobil,SG_BRAND_5b0bdabac6b05c2e37cd904ce2c6fadf,Mobil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,44.974185,-93.308158,328 Cedar Lake Rd S,Minneapolis,MN,55405,US,,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""21:00""]], ""Sun"": [[""8:00"", ""20:00""]] }",,,,2019-07-01,POLYGON
228-223@5s8-cks-2ff,,Chase,SG_BRAND_cd8e7918010a87cc619849e00265c9a6,Chase,Depository Credit Intermediation,Commercial Banking,522110,44.973416,-93.229745,606 Washington Ave SE,Minneapolis,MN,55414,US,,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""10:00"", ""14:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
zzw-222@5pb-kt7-68v,,Valvoline,SG_BRAND_39e16e9497a95ca0,Valvoline,Automotive Repair and Maintenance,All Other Automotive Repair and Maintenance,811198,44.897602,-93.288791,5800 Lyndale Ave S,Minneapolis,MN,55419,US,+16128614499,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""10:00"", ""16:00""]] }",,,,2019-07-01,POLYGON
226-222@5s8-cd6-gp9,,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.975947,-93.270727,109 S 7th St,Minneapolis,MN,55402,US,+16123324849,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2019-07-01,POLYGON
227-225@5s8-cd8-whq,,Walgreens Pharmacy,SG_BRAND_33ef43259b465c12,Walgreens Pharmacy,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,44.953943,-93.297938,2650 Hennepin Ave,Minneapolis,MN,55408,US,,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2021-07-19,POLYGON
292-223@5s8-cdc-b49,,Lunds & Byerlys,SG_BRAND_08d04937c62e495c42a054d0e876e37f,Lunds & Byerlys,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,44.98757,-93.255409,25 University Ave SE,Minneapolis,MN,55414,US,+16125483820,"{ ""Mon"": [[""6:00"", ""24:00""]], ""Tue"": [[""6:00"", ""24:00""]], ""Wed"": [[""6:00"", ""24:00""]], ""Thu"": [[""6:00"", ""24:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""24:00""]] }",,,,2019-07-01,POLYGON
22q-222@5s8-cj9-d5f,,Farmers Insurance Group,SG_BRAND_ee53498a2846250eb753e44e4042a679,Farmers Insurance Group,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,44.956481,-93.278342,2522 Nicollet Ave Ste 202,Minneapolis,MN,55404,US,+16125013615,"{ ""Mon"": [[""8:30"", ""19:30""]], ""Tue"": [[""8:30"", ""19:30""]], ""Wed"": [[""8:30"", ""19:30""]], ""Thu"": [[""8:30"", ""19:30""]], ""Fri"": [[""8:30"", ""19:30""]], ""Sat"": [[""11:30"", ""15:30""]], ""Sun"": [[""11:30"", ""15:30""]] }",,,,2021-03-18,POLYGON
zzw-226@5s8-cj2-ht9,,Papa John's,SG_BRAND_2bc3b742e1d5eb8993fb301179f1700b,Papa John's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.919092,-93.278514,4618 Nicollet Ave,Minneapolis,MN,55419,US,+16128220515,"{ ""Mon"": [[""10:00"", ""24:00""]], ""Tue"": [[""10:00"", ""24:00""]], ""Wed"": [[""10:00"", ""24:00""]], ""Thu"": [[""10:00"", ""24:00""]], ""Fri"": [[""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]] }","Counter Service,Late Night,Pizza,Lunch,Take Out and Delivery Only,Dinner",,,2019-07-01,POLYGON
22r-223@5pb-kst-wx5,,Moxy Hotels,SG_BRAND_3baebb140e1eaa8d,Moxy Hotels,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,44.948165,-93.294091,1121 W Lake St,Minneapolis,MN,55408,US,,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }",,,,2020-10-07,POLYGON
zzw-22c@5s8-cdb-dd9,226-222@5s8-cdb-grk,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,44.998823,-93.287652,627 W Broadway Ave,Minneapolis,MN,55411,US,,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,2021-04-02,,2021-02-02,POLYGON
