placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
227-222@5s8-cd6-5xq,,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.978536,-93.261023,509 Washington Ave S,Minneapolis,MN,55415,US,+16123328255,"{ ""Mon"": [[""5:30"", ""19:00""]], ""Tue"": [[""5:30"", ""19:00""]], ""Wed"": [[""5:30"", ""19:00""]], ""Thu"": [[""5:30"", ""19:00""]], ""Fri"": [[""5:30"", ""19:00""]], ""Sat"": [[""6:00"", ""19:00""]], ""Sun"": [[""6:00"", ""18:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2019-07-01,POLYGON
227-222@5s8-chz-s89,,Domino's Pizza,SG_BRAND_da46ad6f82825669a56b44d32564dff8,Domino's Pizza,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.917658,-93.215753,4735 Hiawatha Ave,Minneapolis,MN,55406,US,+16127298388,"{ ""Mon"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Tue"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Wed"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""10:00"", ""24:00""]] }","Counter Service,Pizza,Sandwich Shop,Lunch,Dinner",,,2019-07-01,POLYGON
224-222@5s8-cj6-4d9,,Boost Mobile,SG_BRAND_828bf870d4d7227c8c54c013e3649586,Boost Mobile,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,44.964762,-93.235744,815 25th Ave S # B,Minneapolis,MN,55454,US,+16123379909,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""12:00"", ""17:00""]] }",,,,2020-06-03,POLYGON
22m-222@5s8-cdf-mff,,Boost Mobile,SG_BRAND_828bf870d4d7227c8c54c013e3649586,Boost Mobile,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312,45.003796,-93.307616,2122 W Broadway Ave # B,Minneapolis,MN,55411,US,+16122081185,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""0:00"", ""17:00""]] }",,,,2020-06-03,POLYGON
226-227@5s8-cd6-fmk,226-222@5s8-cd6-fpv,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.97595,-93.27246,80 S 8th St,Minneapolis,MN,55402,US,+16123710383,"{ ""Mon"": [[""5:30"", ""18:30""]], ""Tue"": [[""5:30"", ""18:30""]], ""Wed"": [[""5:30"", ""18:30""]], ""Thu"": [[""5:30"", ""18:30""]], ""Fri"": [[""6:30"", ""18:30""]], ""Sat"": [], ""Sun"": [[""5:30"", ""18:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery",,,2019-07-01,POLYGON
zzw-236@5s8-cd6-hyv,,U.S. Bank,SG_BRAND_115e6cd3ceacb40f8be99ae3d3f62649,U.S. Bank,Depository Credit Intermediation,Commercial Banking,522110,44.975603,-93.273859,800 Nicollet Mall,Minneapolis,MN,55402,US,,"{ ""Mon"": [[""7:30"", ""17:00""]], ""Tue"": [[""7:30"", ""17:00""]], ""Wed"": [[""7:30"", ""17:00""]], ""Thu"": [[""7:30"", ""17:00""]], ""Fri"": [[""7:30"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,2021-07-14,,2019-07-01,POLYGON
222-223@5s8-cjg-t7q,zzw-222@5s8-cjc-mkz,Ace Rent A Car,SG_BRAND_38c28980e0434310,Ace Rent A Car,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,44.865472,-93.241467,2143 77th St,Minneapolis,MN,55450,US,+19523454017,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [] }",,,,2021-07-13,POLYGON
224-222@5s8-cd8-n89,,Valvoline,SG_BRAND_39e16e9497a95ca0,Valvoline,Automotive Repair and Maintenance,All Other Automotive Repair and Maintenance,811198,44.958903,-93.293942,2401 Hennepin Ave,Minneapolis,MN,55405,US,+16123745238,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""10:00"", ""17:00""]] }",,,,2019-07-01,POLYGON
zzw-225@5pb-kst-xh5,,Lunds & Byerlys,SG_BRAND_08d04937c62e495c42a054d0e876e37f,Lunds & Byerlys,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,44.948549,-93.300202,1450 W Lake St,Minneapolis,MN,55408,US,+16128252440,"{ ""Mon"": [[""6:00"", ""24:00""]], ""Tue"": [[""6:00"", ""24:00""]], ""Wed"": [[""6:00"", ""24:00""]], ""Thu"": [[""6:00"", ""24:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""24:00""]] }",,,,2019-07-01,POLYGON
zzw-223@5s8-cdc-vvf,,Circa Lighting,SG_BRAND_99c70d4bfd1c75f0,Circa Lighting,Home Furnishings Stores,All Other Home Furnishings Stores,442299,44.981854,-93.263814,127 2nd Avenue North,Minneapolis,MN,55401,US,+16122553330,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""17:00""]], ""Sun"": [] }",,,,2021-04-22,POLYGON
22j-222@5pb-ksr-47q,,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.912158,-93.326223,3621 W 50th St,Minneapolis,MN,55410,US,+16129202412,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [] }","Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner",,,2019-07-01,POLYGON
zzw-225@5s8-cks-3bk,,Raising Cane's,SG_BRAND_8017619598f197e2494560ec1e052c69,Raising Cane's,Restaurants and Other Eating Places,Full-Service Restaurants,722511,44.973763,-93.225857,825 Washington Ave SE Ste 103,Minneapolis,MN,55414,US,+16123783243,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""10:00"", ""22:00""]], ""Wed"": [[""10:00"", ""22:00""]], ""Thu"": [[""10:00"", ""22:00""]], ""Fri"": [[""10:00"", ""23:00""]], ""Sat"": [[""10:00"", ""23:00""]], ""Sun"": [[""10:00"", ""22:00""]] }","Counter Service,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Fried Chicken,Dinner",,,2019-07-01,POLYGON
22j-223@5s8-cj8-pqf,,Famous Dave's,SG_BRAND_f28c509064c7777747a4132afaf17faa,Famous Dave's,Restaurants and Other Eating Places,Full-Service Restaurants,722511,44.948729,-93.28985,800 W Lake St,Minneapolis,MN,55408,US,+16122388070,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [[""11:00"", ""20:00""]] }","BBQ and Southern Food,Lunch,Casual Dining,Catering,Dinner",,,2019-07-01,POLYGON
225-222@5pb-kst-vvf,,Buffalo Wild Wings,SG_BRAND_f5c3315bd88c63a7a421a97165d8b108,Buffalo Wild Wings,Restaurants and Other Eating Places,Full-Service Restaurants,722511,44.948147,-93.29555,1221 W Lake St Ste 111,Minneapolis,MN,55408,US,,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Late Night,Chicken Wings,Lunch,American Food,Casual Dining,Sports Bar,Dinner",,,2020-03-18,POLYGON
227-222@5s8-cd5-ndv,,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.963004,-93.263286,1924 Chicago Ave,Minneapolis,MN,55404,US,+16128741562,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""10:00"", ""20:00""]] }","Counter Service,Sandwich Shop,Lunch,Breakfast,Dinner",,,,POLYGON
zzw-224@5s8-cd5-snq,,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,44.972933,-93.275849,1100 Nicollet Mall,Minneapolis,MN,55403,US,,"{ ""Mon"": [[""6:00"", ""14:00""]], ""Tue"": [[""6:00"", ""14:00""]], ""Wed"": [[""6:00"", ""14:00""]], ""Thu"": [[""6:00"", ""14:00""]], ""Fri"": [[""6:00"", ""14:00""]], ""Sat"": [[""6:30"", ""14:00""]], ""Sun"": [[""7:00"", ""14:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2020-01-11,POLYGON
225-222@5s8-cd4-2p9,,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,Pizza Hut,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.974909,-93.279102,1101 Hennepin Ave,Minneapolis,MN,55403,US,,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [[""11:00"", ""21:00""]] }","Counter Service,Pizza,Lunch,Take Out and Delivery Only,Catering,Dinner",2021-04-16,,2019-07-01,POLYGON
